Course Names,descriptions,prereq,Column 4,Breadth requirements,distribution requirements
ECO206Y1 - Microeconomic Theory,This course deals more rigorously and more mathematically with the topics included in ECO200Y1 and is intended primarily for students in certain Economics Specialist programs.,"ECO100Y1(70%)/(ECO101H1(70%), ECO102H1(70%))/ECO100Y5(70%)/(ECO101H5(70%), ECO102H5(70%))/(MGEA02H3 (70%), MGEA06H3(70%)); MAT133Y1(63%)/(MAT135H1(60%), MAT136H1(60%))/MAT137Y1(55%)/MAT157Y1(55%)",,Society and its Institutions (3),Social Science
ECO208Y1 - Macroeconomic Theory,This course deals more rigorously and more mathematically with the topics included in ECO202Y1 and is intended primarily for students in certain Economics Specialist programs.,"ECO100Y1(70%)/(ECO101H1(70%), ECO102H1(70%))/ECO100Y5(70%)/(ECO101H5(70%), ECO102H5(70%))/(MGEA02H3(70%), MGEA06H3 (70%)); MAT133Y1(63%)/(MAT135H1(60%), MAT136H1(60%))/MAT137Y1(55%)/MAT157Y1(55%)",,Society and its Institutions (3),Social Science
ECO209Y1 - Macroeconomic Theory and Policy (for Commerce),"Macroeconomic issues relevant for commerce students. Analytical tools are used to examine policy issues: Canadian government budgets, Bank of Canada monetary policy, exchange rate policy, foreign trade policy and government regulation of financial intermediaries. This course is restricted to students in the Commerce programs.","ECO100Y1(67%)/(ECO101H1(63%), ECO102H1(63%))/ECO105Y1(80%); MAT133Y1/(MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1",,Society and its Institutions (3),Social Science
ECO210H1 - Mathematical Methods for Economic Theory,"An introduction to mathematical methods commonly used in economic theory. Topics include: multivariate calculus, concavity and convexity, unconstrained multivariate optimization, multivariate optimization subject to equality or inequality constraints and differential equations.","ECO100Y1(67%)/(ECO101H1(63%), ECO102H1(63%))/ECO105Y1(80%)/ECO100Y5(67%)/(ECO101H5(63%), ECO102H5(63%))/(MGEA02H3 (67%), MGEA06H3 (67%)); MAT133Y1(63%)/(MAT135H1(60%), MAT136H1(60%))/ MAT137Y1(55%)/MAT157Y1(55%)",,,Social Science
ECO220Y1 - Introduction to Data Analysis and Applied Econometrics,Numerical and graphical data description; data collection and sampling; probability; sampling distributions; statistical inference; hypothesis testing and estimation; simple and multiple regression analysis (extensive coverage). Learn how to analyze data and how to correctly interpret and explain results. Use Excel to analyze a wide variety of data and replicate tables and figures in economics research papers.,"ECO100Y1(67%)/(ECO101H1(63%), ECO102H1(63%))/ECO105Y1(80%)/ECO100Y5(67%)/(ECO101H5(63%), ECO102H5(63%))/(MGEA02H3(67%), MGEA06H3 (67%)); MAT133Y1/(MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1",,"Society and its Institutions (3), The Physical and Mathematical Universes (5)",Social Science
ECO225H1 - Big-Data Tools for Economists,"An introduction to the big-data tools—including Machine-Learning techniques—economists increasingly use in applied research. The course explores unstructured data sources such as text files, webpages, social media posts, satellite imagery, and weather data. It offers a practical introduction to creating datasets from these sources (e.g., web scrapping), linking data, and managing and visualizing them (e.g., geospatial visualization).","ECO100Y1(67%)/( ECO101H1(63%),  ECO102H1(63%))/ ECO105Y1(80%)/ ECO100Y5(67%)/( ECO101H5(63%),  ECO102H5(63%))/( MGEA02H3 (67%),  MGEA06H3 (67%));  MAT133Y1(63%)/( MAT135H1(60%),  MAT136H1(60%))/  MAT137Y1(55%)/ MAT157Y1(55%);  CSC108H1/ CSC148H1",,The Physical and Mathematical Universes (5),Social Science
ECO227Y1 - Foundations of Econometrics,"A rigorous introduction to probability and mathematical statistics intended for students in Economics Specialist programs. Probability and estimation theory, sampling distributions, hypotheses testing, multiple regression analysis. Students will learn the tools used in economics and finance to model and address randomness and uncertainty.","ECO100Y1(70%)/(ECO101H1(70%), ECO102H1(70%))/ECO100Y5(70%)/(ECO101H5(70%), ECO102H5(70%))/(MGEA02H3(70%), MGEA06H3(70%)); MAT133Y1(63%)/(MAT135H1(60%), MAT136H1(60%))/MAT137Y1(55%)/MAT157Y1(55%)",,The Physical and Mathematical Universes (5),Social Science
ECO231H1 - Economics of Global Trade,"This course is intended primarily for students in the International Relations program. This course offers an introduction to the economic causes and consequences of international trade in goods, services, labour, innovation and capital. Attention will be devoted to the economic impact of policies that affect these flows, such as protectionism and outsourcing.","(ECO101H1, ECO102H1)/ECO100Y1/ECO105Y1",ECO230Y1,Society and its Institutions (3),Social Science
ECO232H1 - Global Macroeconomics and Policies,"This course is intended primarily for students in the International Relations program. The course serves as an introduction to some of the causes of differences in economic performance across countries and the impact of a variety of government policies, such as monetary and fiscal policy as well as exchange rate regimes, and how each of the three interact in response to changes in development, sovereign debt, monetary unions and financial crises.","(ECO101H1, ECO102H1)/ECO100Y1/ECO105Y1",ECO230Y1,Society and its Institutions (3),Social Science
ECO250Y1 - Special Topics in Economics,Courses may be offered in one or more subjects each year. Students must meet the prerequisites announced by the Department.,See the Department of Economics website for details.,,,Social Science
ECO251H1 - Special Topics in Economics,Courses may be offered in one or more subjects each year. Students must meet the prerequisites announced by the Department.,See the Department of Economics website for details.,,,Social Science
ECO252H1 - Special Topics in Economics,Courses may be offered in one or more subjects each year. Students must meet the prerequisites announced by the Department.,See the Department of Economics website for details.,,,Social Science
ECO299Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,,,,Social Science
ECO305H1 - Economics of Accounting,"The economic impact of accounting rules and practices for firms and financial contracts. Topics include: economic models of agency, economics of optimal accounting rules such as government regulation of corporate disclosure and the economic returns to financial reporting. No previous knowledge of accounting is required; the basic language of financial accounting will be covered.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO306H1 - American Economic History,A survey of American economic history from the ante-bellum period to the present. Potential topics include: the rapid growth of the American economy in the late 19th and early 20th century; causes of the onset of the Great Depression; the economic impact of slavery and its aftermath; health and demographic trends; and 20th century trends in inequality.,"ECO200Y1/ECO204Y1/ECO206Y1; ECO202Y1/ECO208Y1/ECO209Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO310H1 - Empirical Industrial Organization,"The quantitative analysis of firms' strategies in real-world industries, using tools from applied microeconomics and statistics. Topics include: studies of monopoly, oligopoly, imperfect competition, and the estimation of demand and cost functions that underpin these markets.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO313H1 - Environmental Economics and Policies,This course demonstrates how a rigorous application of microeconomic techniques can inform our responses to various environmental problems. Topics may include: air and water pollution and renewable resource management.,"ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO314H1 - Energy and the Environment,"This course surveys important features of energy markets and related environmental challenges. One of the central objectives is to provide an understanding of the key economic tools needed to analyse these markets. A related objective is the development of a framework for understanding the public discourse on energy and the environment. Topics include: the hydrocarbon economy (oil, natural gas and coal), electricity markets, global warming and other externalities, renewable energy, conservation, carbon taxes and ‘cap-and-trade’.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO316H1 - Applied Game Theory,"Focuses on the core ideas and concepts of game theory and on applications of them in economics and other social sciences. Topics may include: oligopoly, electoral competition, the theory of public goods, voting theory, the free rider problem, repeated interaction, bargaining, evolutionary equilibrium, matching and auctions.|Note: This course cannot be taken as a substitute in programs that require ECO326H1.",ECO200Y1/ECO204Y1/ECO206Y1,,Society and its Institutions (3),Social Science
ECO320H1 - Economic Analysis of Law,"The practical application of microeconomic theory to common legal problems: torts, contracts, property and crime, and the limitations of economic analysis. No previous familiarity with the law is assumed. (This is an economic analysis of legal issues, not a course in law).",ECO200Y1/ECO204Y1/ECO206Y1,,Society and its Institutions (3),Social Science
ECO321H1 - Canadian Economic History prior to 1850,"This course applies the tools of economics - theoretical and empirical - to study Canada's historical growth experiences. Topics include: the variation in well-being among Indigenous peoples (both pre and post contact), migration and indentured servitude, colonial money, child labour and education, and the rise of factories. The impact of colonial institutions on Canada’s economic success is studied in a comparative context.",ECO200Y1/ECO204Y1/ECO206Y1,,Society and its Institutions (3),Social Science
"ECO322H1 - Canadian Economic History, 1850-1960","Canadian economic history between 1850 and 1960, with a focus on the debate over the ability of the market mechanism to optimize economic development. Topics covered include: tariff policies, Confederation, the transcontinental railroad, opening the West, the Great Depression, monetary policy and the Bank of Canada, regional growth and dominion-provincial relations.",ECO200Y1/ECO204Y1/ECO206Y1,,Society and its Institutions (3),Social Science
ECO324H1 - Economic Development,"This course critically analyzes issues related to economic development and the associated policy responses. Tools from micro and macroeconomic theory are employed, as well as the critical assessment of empirical evidence. Topics may include: education, health, credit markets, inequality, and the role of foreign aid.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO325H1 - Advanced Economic Theory - Macro,"A development of the microeconomic foundations of macroeconomic theory to expand students' analytic skills by constructing and solving macroeconomic models. Topics may include: dynamic choice, neoclassical growth theory, uncertainty and rational expectations, business cycles, as well as fiscal and monetary policy.","ECO208Y1/ECO202Y1(70%)/ECO209Y1; ECO220Y1(70%)/ ECO227Y1/ (STA237H1(70%), STA238H1(70%))/ (STA247H1(70%), STA248H1(70%))/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO326H1 - Advanced Microeconomics - Game Theory,"Game theory and applications. Topics include: strategic and extensive games, with applications to economics.","ECO200Y1(70%)/ECO204Y1/ECO206Y1; ECO220Y1(70%)/ ECO227Y1/ (STA237H1(70%), STA238H1(70%))/ (STA247H1(70%), STA248H1(70%))/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO331H1 - Behavioural and Experimental Economics,"Ample empirical and experimental evidence suggests significant departures from classical assumptions of economic behaviour. For example, humans are neither always perfectly rational nor always self interested. This course describes systematic ways in which behaviour deviates from neoclassical assumptions, generating new, and hopefully more realistic behavioural assumptions that have broad empirical, theoretical and policy implications.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO332H1 - Economics of the Family,"A use of microeconomics to study the behaviour of the family, including marriage, divorce, intra-family allocations, investment in children and gender roles.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO333H1 - Urban Economics,"Spatial economic theory and urban public policy: firms and individuals in partial and general equilibrium, land development and land-use controls, urban transportation, efficiency and equity in spending and taxing.",ECO200Y1/ECO204Y1/ECO206Y1,,Society and its Institutions (3),Social Science
ECO334H1 - The Political Economy of Media,"Tools are developed to analyze voters and the role of information in democracies. Theories of voter information are evaluated using empirical literature on media and the political economy of media. The effects of innovations in information technology are explored and we will evaluate how the empirical results square with the theory. A study of newspapers, radio, television, cable, the Internet and social media, with a focus on empirical methods used to identify effects of media on voters.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO336H1 - Public Economics,"Theory of taxation and public goods, and quantitative methods for program evaluation. Additional topics include: taxation and income distribution; environmental policy; and the political economy of government policy.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO337H1 - Public Economics (for Commerce),"An introduction to the economics of government similar to ECO336H1, but with greater focus on issues in business and financial economics. Additional topics include: business tax planning and corporate financial policy; taxation of saving and risk-taking; and government business enterprises.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO338H1 - Economics of Careers,"The economic analysis of careers from the perspectives of both workers and employers. How do people decide what to study, what careers to pursue, and when to change jobs? How do these decisions interact with the structure of firms? The impact of specialization and the division of labour on the evolution of careers is considered, as are the role of cognitive and communication skills in the labour market.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
"ECO339H1 - Labour Economics: Employment, Wages and Public Policy","Using tools from microeconomic theory and statistics, this course introduces students to the study of labour markets, focusing on employment and wage determination, and the application of labour economics to public policy. Topics may include: labour supply, labour demand, estimating the impact of welfare programs, minimum wages, and other labour market interventions.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO340H1 - Labour Economics: The Distribution of Earnings,"Using tools from microeconomic theory and statistics, this course studies the determinants of wages across labour markets. Topics include: the theory of compensating differentials, human capital, discrimination, immigration, unions, and alternative models of compensation. In addition, students are introduced to microeconomic models of unemployment. Throughout the course, there is an emphasis on the evaluation of empirical evidence.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
"ECO341H1 - The Economic History of the 20th Century: Trade, Migration, Money and Finance before 1945","Tailored to advanced students in Economics, Commerce, International Relations and History. The focus is on growth and fluctuations in Europe and North America between roughly 1870 and 1939, with a particular emphasis on international trade and payments, migration, investment, and monetary arrangements.","ECO200Y1/ECO204Y1/ECO206Y1/(ECO230Y1/(ECO231H1, ECO232H1), (POL208Y1/POL208H1))",,Society and its Institutions (3),Social Science
"ECO342H1 - Twentieth Century Economic History: Institutions, Growth and Inequality","Tailored to advanced students in Economics, Commerce, International Relations and History. The focus is on institutions, growth and inequality in countries across the world.","ECO200Y1/ECO204Y1/ECO206Y1/(ECO230Y1/(ECO231H1, ECO232H1), (POL208Y1/POL208H1))",,Society and its Institutions (3),Social Science
"ECO349H1 - Money, Banking and Financial Markets","This course studies the interaction of the monetary and banking sectors with financial markets and the broader economy. It builds especially on tools developed in intermediate macroeconomics, but also focuses on the institutional structure of the Canadian monetary sector, including the role and operation of the Bank of Canada.","ECO200Y1/ECO204Y1/ECO206Y1; ECO202Y1/ECO208Y1/ECO209Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO350Y1 - Special Topics in Economics,Courses may be offered in one or more subjects each year. Students must meet the prerequisites announced by the Department.,See the Department of Economics website for details.,,Society and its Institutions (3),Social Science
ECO351H1 - Special Topics in Economics,Courses may be offered in one or more subjects each year. Students must meet the prerequisites announced by the Department (see the Undergraduate Administrator or the Economics Department website for details).,TBA,,Society and its Institutions (3),Social Science
ECO352H1 - Special Topics in Economics,Courses may be offered in one or more subjects each year. Students must meet the prerequisites announced by the Department.,See the Department of Economics website for details.,,Society and its Institutions (3),Social Science
ECO356H1 - Special Topics in Financial Economics,Courses may be offered in one or more subjects each year. Students must meet the prerequisites announced by the Department.,See the Department of Economics website for details.,,Society and its Institutions (3),Social Science
ECO358H1 - Financial Economics I,"An introduction to economics of financial assets and financial markets. Topics: inter-temporal choice, expected utility theory, security valuation, selected asset pricing models, market efficiency, and the term structure of interest rates - essential materials for an understanding of the role and operation of financial markets.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO359H1 - Financial Economics II: Corporate Finance,Agency and incomplete information problems inherent in financial transactions; the role of contractual arrangements in overcoming them. Financial constraints on investment decisions of firms; the financial system in economic growth; the legal system in the functioning of financial markets. A look at theoretical and empirical literature covering these issues.,ECO358H1,,Society and its Institutions (3),Social Science
ECO362H1 - Economic Growth,"The course considers a broad range of issues that underlie economic growth, including technical progress and the accumulation of human and physical capital. Beyond these factors, the course also investigates the efficiency with which capital is used, the role of foreign trade, and the possible roles of institutions and geography.","ECO200Y1/ECO204Y1/ECO206Y1; ECO202Y1/ECO208Y1/ECO209Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO364H1 - International Trade Theory,"An examination of the causes and consequences of international trade. The first half develops traditional models of comparative advantage. The second half examines more recent theoretical and empirical work on trade & wages, the political economy of trade, outsourcing, and firm heterogeneity.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO365H1 - International Monetary Economics,"Introduction to open economy macroeconomics and international finance. The core objective of the course is to develop macroeconomic models of open economies that can be applied towards gaining an understanding of recent events such as US deficits, financial crises, China's exchange rate policy and the Euro.",ECO202Y1/ECO208Y1/ECO209Y1,,Society and its Institutions (3),Social Science
ECO367H1 - The Economics of Inequality,"This course critically analyzes the causes and recent dynamics of economic inequality both between countries as well as within a particular country, with a particular emphasis on the role of public policy. Theoretical models and empirical approaches are employed, with a focus on the critical assessment of empirical evidence. Topics may include the role of traditional market forces (e.g., globalisation, technological change), the role of institutions (e.g., minimum wage, unions) as well as the role of race and gender.","ECO200Y1/​ECO204Y1/​ECO206Y1, ECO220Y1/​ ECO227Y1/​ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO368H1 - Economics of Conflict,"This course explores the links between violent conflict and socioeconomic development. It focuses on micro-level processes leading to conflict, and how conflict and political violence affect people's lives at the household and community levels. It also examines how these processes are linked to wider political and economic issues including governance and the role of institutions. Tools from economic theory are applied alongside country-specific and cross-country empirical evidence.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1). Note: Students with ECO100Y1(67%)/(ECO101H1(63%), ECO102H1(63%))/ECO105Y1(80%), plus a full-year of quantitative methods/statistics (e.g., POL222H1, POL232H1), and who are enrolled in the International Relations or Peace, Conflict and Justice Major or Specialist programs may take this course with Permission of the Instructor.",,Society and its Institutions (3),Social Science
ECO369H1 - Health Economics,"The provision of health care provides many special problems of informational asymmetry, regulation, insurance and redistribution. A consideration of the demand and supply side problems. Alternative reform proposals for health care are explored.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO372H1 - Data Analysis and Applied Econometrics in Practice,"How multiple regression can be used to answer causal questions. Implications of, and how to interpret different model specifications and identification strategies. Students will read, critically evaluate and replicate existing research, and conduct their own original analyses. Statistical software STATA or R will be used.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO374H1 - Forecasting and Time Series Econometrics,"An introduction to econometrics similar to ECO375H1, with greater focus on applications drawn from business and financial economics. The course is built around the statistical foundations and economic applications of the multiple regression model. Using statistical software, students will also learn how to conduct, present, and critique empirical research.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1(70%)/ ECO227Y1/ (STA237H1(70%), STA238H1(70%))/ (STA247H1(70%), STA248H1(70%))/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO375H1 - Applied Econometrics I,"Introduction to econometrics. Statistical foundations and the interpretation of multiple regression models, with an emphasis on cross-sectional data. Application of regressions to a wide variety of economic questions and data sources, including the use of statistical software. Problems in the identification of causality, and an introduction to methods of addressing common statistical issues.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1(70%)/ ECO227Y1/ (STA237H1(70%), STA238H1(70%))/ (STA247H1(70%), STA248H1(70%))/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
"ECO380H1 - Markets, Competition, and Strategy","This course in applied microeconomics is concerned with the functioning of markets and the behaviour of firms within these markets. The focus is on strategic relationships between organizations, including competitive relationships among firms in the same market and cooperative relationships between a firm and its suppliers and distributors.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO381H1 - Personnel Economics,"An examination of selected material on compensation and incentives in organizations. Topics include: recruitment and hiring, training, turnover, downsizing, motivating workers, teams, allocating authority and task assignment.","ECO200Y1/ECO204Y1/ECO206Y1; ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1)",,Society and its Institutions (3),Social Science
ECO398H0 - Research Excursions,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,,,,Social Science
ECO398Y0 - Research Excursions,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,,,,Social Science
ECO399Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,,,,
ECO401H1 - Topics in Economic Policy,"This course covers basic issues in the theoretical and empirical evaluation of public policy. Sample topics include: income redistribution through taxation and the provision of social insurance and public goods, the mitigation of externalities, and welfare analysis in behavioural models.","ECO200Y1/ECO204Y1/ECO206Y1, ECO202Y1/ECO208Y1/ECO209Y1, ECO220Y1/ ECO227Y1/ (STA237H1, STA238H1)/ (STA247H1, STA248H1)/ (STA257H1, STA261H1), at least 1.0 credit in ECO at the 300+ level.",,Society and its Institutions (3),Social Science
